CustomerID,Name,Gender,Age,AnnualIncome,SpendingScore,Membership,VisitsPerMonth,PreferredCategories,AvgTimeSpent,TransportationMode,DistanceFromMall,LastVisitDate,AvgSpendingPerVisit,City,PaymentMethod,FeedbackScore
1,Eko Wijaya,Male,48.0,614000000.0,50.0,Bronze,2.0,Home,34.0,Public Transport,14.6,2025-01-16,593136,Medan,BNPL,5.0
2,Indah Saputra,Female,21.0,855000000.0,57.0,Bronze,9.0,"Sports, Jewelry, Home, Entertainment, Groceries, Food, Books, Beauty, Electronics, Fashion",69.0,Motorcycle,2.5,2025-01-13,286419,Jakarta,Credit Card,4.0
3,Joko Santoso,Male,35.0,192000000.0,41.0,Silver,4.0,"Entertainment, Food, Groceries, Jewelry, Sports",112.0,Taxi/Ride-sharing,21.3,2024-04-01,862899,Surabaya,BNPL,4.0
4,Eko Putra,Male,55.0,51000000.0,38.0,Bronze,8.0,"Sports, Jewelry, Books, Home, Food, Beauty, Electronics, Groceries",55.0,Car,22.5,2025-02-25,568885,Bandung,Debit Card,5.0
5,Dedi Utama,Male,31.0,184000000.0,49.0,Bronze,9.0,Food,126.0,Car,29.3,2024-11-25,1049913,Surabaya,Debit Card,3.0
6,Nita Susanto,Female,69.0,104000000.0,50.0,Silver,6.0,Beauty,136.0,Car,23.7,2025-02-12,329997,Jakarta,Credit Card,
7,Budi Hartono,Male,45.0,159000000.0,2.0,Bronze,7.0,"Books, Entertainment, Fashion, Electronics, Beauty, Food, Sports",61.0,Walking,37.4,2025-02-05,10000,Surabaya,nan,5.0
8,Iwan Saputra,Male,64.0,65000000.0,45.0,Platinum,3.0,"Jewelry, Home",233.0,Motorcycle,13.2,2025-02-26,537157,Semarang,Credit Card,3.0
9,Taufik Sari,Male,65.0,48000000.0,29.0,Silver,10.0,Sports,148.0,Motorcycle,3.6,2025-02-06,598524,Pontianak,Debit Card,5.0
10,Ani Putra,Female,50.0,80000000.0,35.0,Bronze,9.0,"Electronics, Fashion",72.0,Taxi/Ride-sharing,1.7,2024-05-26,892560,Yogyakarta,E-wallet,4.0
